"id","Pais","Localidad","Denominación Genérica","Denominación Específica","Código","Naturaleza","Tipo"
1911,"ESPAÑA","FUENTE PALMERA","Centro Privado de Educación Infantil","ARCO IRIS 1",14011638,"Centro privado",2
1912,"ESPAÑA","CABRA","Centro Privado de Educación Infantil","ARCO IRIS II",14011641,"Centro privado",2
1913,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","MUNDO DE PEQUES",14011651,"Centro privado",2
1914,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","TRÉBOLES",14011183,"Centro privado",2
1915,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","GARABATOS 2",14011195,"Centro privado",2
1916,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","LUNA LUNERA",14011213,"Centro privado",2
1917,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","PARVULARIO FÁTIMA",14011237,"Centro privado",2
1918,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","EL PUZLE II",14011249,"Centro privado",2
1919,"ESPAÑA","CÓRDOBA","Centro Privado de Formación Profesional Específica","JUAN PÉREZ MARÍN I",14011250,"Centro privado",2
1920,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","CHIQUITINES GUAY",14011262,"Centro privado",2
1921,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","EL NARANJO",14011286,"Centro privado",2
1922,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","LOS GIRASOLES",14011331,"Centro privado",2
1923,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","ACUARELAS",14011341,"Centro privado",2
1924,"ESPAÑA","DOÑA MENCÍA","Escuela de Educación Infantil","NO CONSTA",14011353,"Centro público",0
1925,"ESPAÑA","POSADAS","Escuela de Educación Infantil","ANTIGUO COLEGIO JESÚS",14011365,"Centro público",0
1926,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","PASITOS",14011377,"Centro privado",2
1927,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","TOM SAWYER",14011389,"Centro privado",2
1928,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","CHIQUITÍN",14011390,"Centro privado",2
1929,"ESPAÑA","VILLANUEVA DE CÓRDOBA","Centro Privado de Educación Infantil","JUANITA MÉNDEZ",14011407,"Centro privado",2
1930,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","ÉRASE UN VEZ III",14011419,"Centro privado",2
1931,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","LA PECERA",14011420,"Centro privado",2
1932,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","GARABATOS",14010877,"Centro privado",2
1933,"ESPAÑA","LUCENA","Centro Privado de Educación Infantil","MI SOLETE",14010889,"Centro privado",2
1934,"ESPAÑA","VICTORIA (LA)","Escuela de Educación Infantil","LA VICTORIA",14010890,"Centro público",0
1935,"ESPAÑA","CASTRO DEL RÍO","Escuela de Educación Infantil","CASTRO DEL RÍO",14010907,"Centro público",0
1936,"ESPAÑA","POZOBLANCO","Centro Privado de Enseñanzas de Régimen General","LA LUNA",14010919,"Centro privado",1
1937,"ESPAÑA","CASTRO DEL RÍO","Centro Privado de Enseñanzas de Régimen General","EL TIOVIVO 2",14010920,"Centro privado",1
1938,"ESPAÑA","VILLAFRANCA DE CÓRDOBA","Escuela Pública de Música y/o Danza",,14010932,"Centro público",0
1939,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","EL JARDINCITO II",14010944,"Centro privado",2
1940,"ESPAÑA","CÓRDOBA","Centro Público de Educación de Personas Adultas (Presencial)","PARQUE FIGUEROA",14500686,"Centro público",0
1941,"ESPAÑA","CÓRDOBA","Centro Público de Educación de Personas Adultas (Presencial)","VILLARRUBIA",14500698,"Centro público",0
1942,"ESPAÑA","CÓRDOBA","Centro Público de Educación de Personas Adultas (Presencial)","LAS MORERAS",14500704,"Centro público",0
1943,"ESPAÑA","CÓRDOBA","Centro Público de Educación de Personas Adultas (Presencial)","LAS PALMERAS",14500716,"Centro público",0
1944,"ESPAÑA","CÓRDOBA","Centro Público de Educación de Personas Adultas (Presencial)","PARQUE CRUZ CONDE",14500728,"Centro público",0
1945,"ESPAÑA","CÓRDOBA","Centro Público de Educación de Personas Adultas (Presencial)","VALDEOLLEROS",14500731,"Centro público",0
1946,"ESPAÑA","CÓRDOBA","Centro Público de Educación de Personas Adultas (Presencial)",,14500741,"Centro público",0
1947,"ESPAÑA","CÓRDOBA","Centro Público de Educación de Personas Adultas (Presencial)","C.PENITENCIARIO",14500753,"Centro público",0
1948,"ESPAÑA","CÓRDOBA","Centro Público de Educación de Personas Adultas (Presencial)","LEVANTE",14500765,"Centro público",0
1949,"ESPAÑA","CÓRDOBA","Centro Público de Educación de Personas Adultas (Presencial)","FUENSANTA",14500777,"Centro público",0
1950,"ESPAÑA","CÓRDOBA","Colegio Público","CONCEPCION ARENAL",14600590,"Centro público",0
1951,"ESPAÑA","GUADALCÁZAR","Centro Privado de Enseñanzas de Régimen General","CONCEPCIÓN CADENAS RODRÍGUEZ",14010695,"Centro privado",1
1952,"ESPAÑA","CÓRDOBA","Centro Privado de Enseñanzas de Régimen General","LOS COMPIS",14010701,"Centro privado",1
1953,"ESPAÑA","PUENTE GENIL","Centro Privado de Enseñanzas de Régimen General","CORDOBILLA",14010713,"Centro privado",1
1954,"ESPAÑA","PUENTE GENIL","Centro Privado de Enseñanzas de Régimen General","PROYECTO EDUCA",14010725,"Centro privado",1
1955,"ESPAÑA","CABRA","Centro Privado de Enseñanzas de Régimen General","ARCO IRIS",14010737,"Centro privado",1
1956,"ESPAÑA","CARPIO (EL)","Centro Privado de Enseñanzas de Régimen General","MI PRIMER COLE",14010749,"Centro privado",1
1957,"ESPAÑA","MONTEMAYOR","Escuela Pública de Música y/o Danza",,14010750,"Centro público",0
1958,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","LOS POLLITOS-LA SIERRA",14010762,"Centro privado",2
1959,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","EL PRINCIPITO",14010774,"Centro privado",2
1960,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","CHUPETES",14010786,"Centro privado",2
1961,"ESPAÑA","PALMA DEL RÍO","Centro Privado de Educación Infantil","CHUPETÍN",14010798,"Centro privado",2
1962,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","CUQUITOS",14010804,"Centro privado",2
1963,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","MI GRANJA III",14010816,"Centro privado",2
1964,"ESPAÑA","CARCABUEY","Centro Privado de Enseñanzas de Régimen General","DIVINO MAESTRO",14010828,"Centro privado",1
1965,"ESPAÑA","PRIEGO DE CÓRDOBA","Centro Privado de Educación Infantil","BAMBI",14010831,"Centro privado",2
1966,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","MIMOS II",14010841,"Centro privado",2
1967,"ESPAÑA","CÓRDOBA","Centro Privado de Educación Infantil","PIRATAS",14010853,"Centro privado",2
1968,"ESPAÑA","PEDROCHE","Centro Público de Educación de Personas Adultas (Presencial)",,14500613,"Centro público",0
1969,"ESPAÑA","AÑORA","Centro Público de Educación de Personas Adultas (Presencial)",,14500625,"Centro público",0
1970,"ESPAÑA","VILLANUEVA DE CÓRDOBA","Centro Público de Educación de Personas Adultas (Presencial)",,14500637,"Centro público",0
1971,"ESPAÑA","LUQUE","Centro Público de Educación de Personas Adultas (Presencial)",,14500303,"Centro público",0
1972,"ESPAÑA","DOÑA MENCÍA","Centro Público de Educación de Personas Adultas (Presencial)",,14500315,"Centro público",0
1973,"ESPAÑA","PRIEGO DE CÓRDOBA","Centro Público de Educación de Personas Adultas (Presencial)",,14500327,"Centro público",0
1974,"ESPAÑA","CARCABUEY","Centro Público de Educación de Personas Adultas (Presencial)",,14500339,"Centro público",0
1975,"ESPAÑA","ALMEDINILLA","Centro Público de Educación de Personas Adultas (Presencial)",,14500340,"Centro público",0
1976,"ESPAÑA","CABRA","Centro Público de Educación de Personas Adultas (Presencial)",,14500352,"Centro público",0
1977,"ESPAÑA","MONTURQUE","Centro Público de Educación de Personas Adultas (Presencial)",,14500364,"Centro público",0
1978,"ESPAÑA","MORILES","Centro Público de Educación de Personas Adultas (Presencial)",,14500376,"Centro público",0
1979,"ESPAÑA","LUCENA","Centro Público de Educación de Personas Adultas (Presencial)",,14500388,"Centro público",0
1980,"ESPAÑA","IZNÁJAR","Centro Público de Educación de Personas Adultas (Presencial)",,14500391,"Centro público",0
1981,"ESPAÑA","RUTE","Centro Público de Educación de Personas Adultas (Presencial)",,14500406,"Centro público",0
1982,"ESPAÑA","PUENTE GENIL","Centro Público de Educación de Personas Adultas (Presencial)",,14500418,"Centro público",0
1983,"ESPAÑA","AGUILAR DE LA FRONTERA","Centro Público de Educación de Personas Adultas (Presencial)",,14500421,"Centro público",0
1984,"ESPAÑA","PALENCIANA","Centro Público de Educación de Personas Adultas (Presencial)",,14500431,"Centro público",0
1985,"ESPAÑA","BENAMEJÍ","Centro Público de Educación de Personas Adultas (Presencial)",,14500443,"Centro público",0
1986,"ESPAÑA","ENCINAS REALES","Centro Público de Educación de Personas Adultas (Presencial)",,14500455,"Centro público",0
1987,"ESPAÑA","PEÑARROYA-PUEBLONUEVO","Centro Público de Educación de Personas Adultas (Presencial)",,14500467,"Centro público",0
1988,"ESPAÑA","HORNACHUELOS","Centro Público de Educación de Personas Adultas (Presencial)",,14500121,"Centro público",0
1989,"ESPAÑA","POSADAS","Centro Público de Educación de Personas Adultas (Presencial)",,14500133,"Centro público",0
1990,"ESPAÑA","ALMODÓVAR DEL RÍO","Centro Público de Educación de Personas Adultas (Presencial)",,14500145,"Centro público",0
1991,"ESPAÑA","CARPIO (EL)","Centro Público de Educación de Personas Adultas (Presencial)",,14500157,"Centro público",0
1992,"ESPAÑA","CAÑETE DE LAS TORRES","Centro Público de Educación de Personas Adultas (Presencial)",,14500169,"Centro público",0
1993,"ESPAÑA","BUJALANCE","Centro Público de Educación de Personas Adultas (Presencial)",,14500170,"Centro público",0
1994,"ESPAÑA","VALENZUELA","Centro Público de Educación de Personas Adultas (Presencial)",,14500182,"Centro público",0
1995,"ESPAÑA","VILLAFRANCA DE CÓRDOBA","Centro Público de Educación de Personas Adultas (Presencial)",,14500194,"Centro público",0
1996,"ESPAÑA","ADAMUZ","Centro Público de Educación de Personas Adultas (Presencial)",,14500200,"Centro público",0
1997,"ESPAÑA","MONTORO","Centro Público de Educación de Personas Adultas (Presencial)",,14500224,"Centro público",0
1998,"ESPAÑA","PEDRO ABAD","Centro Público de Educación de Personas Adultas (Presencial)",,14500236,"Centro público",0
1999,"ESPAÑA","VILLA DEL RÍO","Centro Público de Educación de Personas Adultas (Presencial)",,14500248,"Centro público",0
2000,"ESPAÑA","ESPEJO","Centro Público de Educación de Personas Adultas (Presencial)",,14500251,"Centro público",0
2001,"ESPAÑA","CASTRO DEL RÍO","Centro Público de Educación de Personas Adultas (Presencial)",,14500261,"Centro público",0
2002,"ESPAÑA","NUEVA CARTEYA","Centro Público de Educación de Personas Adultas (Presencial)",,14500273,"Centro público",0
2003,"ESPAÑA","BAENA","Centro Público de Educación de Personas Adultas (Presencial)",,14500285,"Centro público",0
2004,"ESPAÑA","CÓRDOBA","Conservatorio de Música o Danza",,14700225,"Centro público",0
2005,"ESPAÑA","MONTILLA","Conservatorio de Música o Danza",,14700237,"Centro público",0
2006,"ESPAÑA","PRIEGO DE CÓRDOBA","Conservatorio de Música o Danza",,14700249,"Centro público",0
