"Id","Pais","Localidad","Denominación Genérica","Denominación Específica","Código","Naturaleza"
1,"ESPAÑA","CEUTA","Colegio de Educación Infantil y Primaria ","PABLO RUIZ PICASSO ",51000021,"Centro público"
2,"ESPAÑA","CEUTA ","Centro de Educación Especial ","SAN ANTONIO ",51000511,"Centro público"
3,"ESPAÑA","CEUTA ","Centro Público de Educación de Personas Adultas ","EDRISSIS ",51000626,"Centro público"
4,"ESPAÑA","CEUTA ","Centro Público de Educación de Personas Adultas ","MIGUEL HERNANDEZ ",51000471,"Centro público"
5,"ESPAÑA","CEUTA ","Colegio de Educación Infantil y Primaria ","ANDRÉS MANJÓN ",51000213,"Centro público"
6,"ESPAÑA","CEUTA ","Colegio de Educación Infantil y Primaria ","FEDERICO GARCÍA LORCA ",51000171,"Centro público"
7,"ESPAÑA","CEUTA ","Colegio de Educación Infantil y Primaria ","JOSÉ ORTEGA Y GASSET ",51000365,"Centro público"
8,"ESPAÑA","CEUTA ","Colegio de Educación Infantil y Primaria ","LOPE DE VEGA ",51000195,"Centro público"
9,"ESPAÑA","CEUTA ","Colegio de Educación Infantil y Primaria ","MAESTRO JOSÉ ACOSTA ",51000249,"Centro público"
10,"ESPAÑA","CEUTA ","Colegio de Educación Infantil y Primaria ","MAESTRO JUAN MOREJÓN ",51000237,"Centro público"
11,"ESPAÑA","CEUTA ","Colegio de Educación Infantil y Primaria ","MARE NOSTRUM ",51000501,"Centro público"
12,"ESPAÑA","CEUTA ","Colegio de Educación Infantil y Primaria ","PRINCIPE FELIPE ",51000353,"Centro público"
13,"ESPAÑA","CEUTA ","Colegio de Educación Infantil y Primaria ","RAMÓN MARÍA DEL VALLE INCLÁN ",51000225,"Centro público"
14,"ESPAÑA","CEUTA ","Colegio de Educación Infantil y Primaria ","REINA SOFÍA ",51000420,"Centro público"
15,"ESPAÑA","CEUTA ","Colegio de Educación Infantil y Primaria ","REY JUAN CARLOS I ",51000456,"Centro público"
16,"ESPAÑA","CEUTA ","Colegio de Educación Infantil y Primaria ","ROSALIA DE CASTRO ",51000377,"Centro público"
17,"ESPAÑA","CEUTA ","Colegio de Educación Infantil y Primaria ","SANTA AMELIA ",51000183,"Centro público"
18,"ESPAÑA","CEUTA ","Colegio de Educación Infantil y Primaria ","SANTIAGO RAMÓN Y CAJAL ",51000201,"Centro público"
19,"ESPAÑA","CEUTA ","Colegio de Educación Infantil y Primaria ","VICENTE ALEIXANDRE ",51000262,"Centro público"
20,"ESPAÑA","CEUTA ","Conservatorio Profesional de Música ","CONSERVATORIO PROFESIONAL MUNICIPAL DE CEUTA ",51000444,"Centro público"
21,"ESPAÑA","CEUTA ","Escuela Oficial de Idiomas ","E.O.I. DE CEUTA ",51000641,"Centro público"
22,"ESPAÑA","CEUTA ","Instituto de Educación Secundaria ","ABYLA ",51000286,"Centro público"
23,"ESPAÑA","CEUTA ","Instituto de Educación Secundaria ","ALMINA ",51000304,"Centro público"
24,"ESPAÑA","CEUTA ","Instituto de Educación Secundaria ","CLARA CAMPOAMOR ",51004671,"Centro público"
25,"ESPAÑA","CEUTA ","Instituto de Educación Secundaria ","LUIS DE CAMOENS ",51000638,"Centro público"
26,"ESPAÑA","CEUTA ","Instituto de Educación Secundaria ","PUERTAS DEL CAMPO ",51000331,"Centro público"
27,"ESPAÑA","CEUTA ","Instituto de Educación Secundaria ","SIETE COLINAS ",51000298,"Centro público"
